Season,Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019-20,0-4 yr,0,0,155,1966,62,1729,16,389,0
2019-20,5-24 yr,0,0,394,4007,147,6419,54,1908,0
2019-20,25-64 yr,0,0,403,8156,282,3395,61,889,0
2019-20,65+ yr,0,0,493,3625,112,790,60,125,0
2018-19,0-4 yr,0,0,1820,2859,224,193,37,175,0
2018-19,5-24 yr,0,0,6525,5423,360,691,137,486,0
2018-19,25-64 yr,0,0,4464,8744,519,296,154,171,0
2018-19,65+ yr,0,0,4494,3573,191,59,106,29,0
2017-18,0-4 yr,0,0,2175,781,34,192,578,183,0
2017-18,5-24 yr,0,0,5985,1443,63,655,2692,947,2
2017-18,25-64 yr,0,0,8983,2292,129,293,3444,879,1
2017-18,65+ yr,0,0,11487,821,140,97,3460,539,0
2016-17,0-4 yr,0,0,2100,140,17,336,347,143,29
2016-17,5-24 yr,0,0,7919,196,57,1169,1546,663,24
2016-17,25-64 yr,0,0,8130,378,75,542,1958,552,2
2016-17,65+ yr,0,0,9728,160,83,191,1872,281,3
2015-16,0-4 yr,0,0,309,1876,34,207,214,205,6
2015-16,5-24 yr,0,0,1513,3419,72,765,943,948,11
2015-16,25-64 yr,0,0,1080,6918,176,398,1341,728,0
2015-16,65+ yr,0,0,852,1906,80,153,797,285,1
2014-15,0-4 yr,0,0,3113,25,33,0,0,536,0
2014-15,5-24 yr,0,0,9108,37,81,0,0,1846,2
2014-15,25-64 yr,0,0,9154,89,108,0,0,2004,0
2014-15,65+ yr,0,0,12852,12,119,0,0,1199,0
2013-14,0-4 yr,0,0,322,2592,23,0,0,316,2
2013-14,5-24 yr,0,0,959,5268,78,0,0,1062,1
2013-14,25-64 yr,0,0,1196,11852,164,0,0,1426,0
2013-14,65+ yr,0,0,1115,2468,58,0,0,672,0
2012-13,0-4 yr,0,0,3364,261,21,0,0,1380,5
2012-13,5-24 yr,0,0,7498,498,47,0,0,4107,14
2012-13,25-64 yr,0,0,8747,876,106,0,0,2363,0
2012-13,65+ yr,0,0,8510,95,228,0,0,1015,1
